order,class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
84,3,0,0.0236313,0.0481926,0.06852142,0.0780418,0.0760692,0.06380954,0.04723342,0.03309728,0.02902396,0,0.0379099,0.07349312,0.1028301,0.12132292,0.1287067,0.12753518,0.12228596,0.11675364,0.11414288
85,1,0,-0.0330336,-0.06054704,-0.07944304,-0.0881849,-0.08845032,-0.08272804,-0.07382226,-0.06393608,-0.05485204,0,-0.01881554,-0.03473694,-0.04774892,-0.0571494,-0.06434324,-0.0701648,-0.07444938,-0.07593596,-0.07345564
86,2,0,0.00217722,0.00050012,-0.00639652,-0.0174612,-0.03012082,-0.0399403,-0.04465578,-0.0460078,-0.04669042,0,-0.00054714,-0.0014116,-0.00296672,-0.0042673,-0.00555482,-0.00695868,-0.00947124,-0.01511998,-0.02420998
87,0,0,0.0211074,0.0464836,0.07366878,0.09447916,0.10724154,0.10953082,0.10035576,0.08040596,0.05540334,0,0.00348832,0.00691766,0.01221568,0.01720556,0.01839098,0.01622084,0.0114037,0.0043706,-0.00223714
88,4,0,-0.0351049,-0.06128954,-0.07248098,-0.06920102,-0.05451658,-0.0368753,-0.02762658,-0.02993542,-0.0410966,0,-0.02100016,-0.03871696,-0.04882782,-0.05321444,-0.05386562,-0.05448214,-0.0579097,-0.06371748,-0.06958048
89,1,0,0.0229798,0.02963006,0.01913356,-0.00646122,-0.04269366,-0.0841743,-0.12209956,-0.1489443,-0.16099238,0,0.03733624,0.06480068,0.07872076,0.07813214,0.06588534,0.04592868,0.02614188,0.0122301,0.00632338
90,1,0,-0.02382914,-0.04145488,-0.04620966,-0.03734122,-0.01767842,0.00217946,0.0175714,0.0257266,0.02638288,0,-0.00695948,-0.01049922,-0.009441,-0.0053179,-0.00021422,-0.00048446,-0.00676598,-0.01740986,-0.03029442
91,2,0,0.0036586,0.01068348,0.01964248,0.02751932,0.03322434,0.03502704,0.03525914,0.03453998,0.03257604,0,0.00322396,0.0041137,0.00171002,-0.00493528,-0.01392316,-0.02272154,-0.03034,-0.03507142,-0.0376484
92,0,0,0.02328542,0.05749928,0.09256388,0.1209508,0.14019134,0.15399712,0.16357354,0.17521572,0.19094416,0,0.0134815,0.03003028,0.04442584,0.05188406,0.05499256,0.0604215,0.0694906,0.08597722,0.10956978
93,0,0,0.01214292,0.00906078,-0.00878546,-0.03411144,-0.06147456,-0.08370032,-0.09735224,-0.10407348,-0.11095402,0,-0.00868872,-0.02752022,-0.05629326,-0.09037288,-0.12694058,-0.1593613,-0.18412064,-0.20042298,-0.21183006
94,0,0,0.00711138,0.00768472,-0.00089476,-0.01870164,-0.0439269,-0.07283988,-0.10045098,-0.123274,-0.13902368,0,-0.00209762,-0.00885418,-0.0227136,-0.0423798,-0.06492584,-0.08712242,-0.10574626,-0.11884592,-0.12653294
95,4,0,0.01232464,0.02529312,0.03940472,0.05496982,0.07180848,0.09188644,0.1167397,0.14583446,0.17728898,0,0.009685,0.02167302,0.03694814,0.05459408,0.07406422,0.09697396,0.12209004,0.14887254,0.17811594
96,4,0,-0.01556718,-0.02571414,-0.03415432,-0.0465328,-0.06424916,-0.08537664,-0.10838344,-0.12841504,-0.1413432,0,-0.01628914,-0.02991726,-0.04224244,-0.0550435,-0.06913778,-0.083559,-0.09835204,-0.11201912,-0.12357608
97,3,0,0.02220718,0.04049414,0.05132608,0.05087816,0.03987618,0.0259002,0.01460178,0.00648146,0.00209364,0,0.01300824,0.02452706,0.03352916,0.03824236,0.0391155,0.03793932,0.03719522,0.03570496,0.03284412
98,0,0,-0.01911208,-0.0327858,-0.04037334,-0.04006374,-0.03031318,-0.0132744,0.00316278,0.0176656,0.03044464,0,-0.00887048,-0.01903172,-0.0277733,-0.0328597,-0.03300978,-0.02894502,-0.02525302,-0.02268674,-0.019712
99,2,0,0.00041562,0.00947058,0.02311108,0.04027486,0.057851,0.07048672,0.07644472,0.07753918,0.0748794,0,0.00553826,0.01502026,0.02569324,0.03623828,0.04591988,0.05259372,0.0550458,0.05601826,0.05583986
100,1,0,-0.00152428,0.00521552,0.02033508,0.04204298,0.0641828,0.07808288,0.08291526,0.07964348,0.06843488,0,0.00478286,0.01278066,0.02391676,0.03757394,0.05107164,0.06048152,0.06289948,0.06014304,0.05217756
